"","ACME","ADAX","ALTU","APAC","ARNE","BEAV","BESS","BIXB","BLAC","BOIS","BOWL","BREC","BRIS","BUFF","BURB","BURN","BUTL","BYAR","CAMA","CENT","CHAN","CHER","CHEY","CHIC","CLAY","CLOU","COOK","COPA","DURA","ELRE","ERIC","EUFA","FAIR","FORA","FREE","FTCB","GOOD","GUTH","HASK","HINT","HOBA","HOLL","HOOK","HUGO","IDAB","JAYX","KENT","KETC","LAHO","LANE","MADI","MANG","MARE","MAYR","MCAL","MEDF","MEDI","MIAM","MINC","MTHE","NEWK","NINN","NOWA","OILT","OKEM","OKMU","PAUL","PAWN","PERK","PRYO","PUTN","REDR","RETR","RING","SALL","SEIL","SHAW","SKIA","SLAP","SPEN","STIG","STIL","STUA","SULP","TAHL","TALI","TIPT","TISH","VINI","WASH","WATO","WAUR","WEAT","WEST","WILB","WIST","WOOD","WYNO"
"ACME",1,0.922414129921728,0.897003003795366,0.977939631496788,0.86030119297624,0.794785191609671,0.923904703780595,0.857958505664041,0.846434097091608,0.741987454692509,0.91696340681179,0.889561477654049,0.889651123002649,0.811279641343256,0.857326090616459,0.905604382545032,0.890778886669016,0.941956391021263,0.880694538219006,0.894610952223313,0.902130463816251,0.85826460294726,0.878744670540937,0.973388028328713,0.805599400651273,0.810459420957252,0.807872405818099,0.823636737322247,0.865940648244146,0.945159158357055,0.882716548091207,0.844623753279053,0.844040927897064,0.832447977738493,0.84110110864061,0.959094721705092,0.752463611674416,0.927263215647942,0.856063451318244,0.940442184462693,0.938611734009474,0.899838450790995,0.778203205587963,0.826786536710043,0.781826193718068,0.792438923355696,0.721125185087104,0.914513879792258,0.885814094393776,0.862499939807774,0.903541535456769,0.925864590785482,0.905975001703256,0.81630811802983,0.869559069347439,0.855969663113852,0.961623083139159,0.785242393751465,0.966628524778569,0.768491502061414,0.849169512712933,0.966652365492231,0.815931450903744,0.887130540517272,0.886633812269086,0.860932408004452,0.952054060600589,0.8720768022335,0.903731791889833,0.822275745138478,0.884594182600567,0.88424359898154,0.905866624579792,0.93867718976648,0.807537609140168,0.859493384247143,0.933309356408485,0.853355703097383,0.785857391176619,0.931575643710993,0.828398541361879,0.899169187161508,0.882960394750327,0.932887984713438,0.812779481177577,0.810275577009235,0.933481674356002,0.873195448519166,0.796754140770394,0.954738297642768,0.914541663029347,0.948541876493234,0.931941819497951,0.761455294222903,0.834308521190751,0.806593965052371,0.85086145811335,0.853788794694434
"ADAX",0.922414129921728,1,0.824328782085893,0.90896986061114,0.794929455801996,0.744795892964121,0.853259703697935,0.909275831367721,0.835771565632388,0.694020597223153,0.969136309516616,0.865584623032419,0.930738450017768,0.765292998946727,0.864591992191301,0.924641932881268,0.822995769195,0.976929724982232,0.819137548823589,0.972900157390617,0.927507484969502,0.820777768763239,0.807243537839471,0.924967911971206,0.893153146340547,0.896399375909214,0.884599073994386,0.851694107879231,0.929695345216993,0.899127967821559,0.804233423904897,0.923733330313797,0.80129963314419,0.847492430320087,0.796877006275155,0.88960544716773,0.697762636856453,0.911007432553222,0.915571123977929,0.881373809114098,0.85735938019464,0.816949284358341,0.729129311212971,0.904900379917492,0.856123601561461,0.84783459159777,0.676479125748647,0.890629350476297,0.851395575569569,0.944089316602338,0.947916662738459,0.842359195437375,0.901433124782454,0.774044632222061,0.956066680354823,0.834876944933901,0.888114448736995,0.830230522415354,0.921758689882698,0.846832958245467,0.849053922343234,0.915601641106606,0.850932218203899,0.916043918243863,0.946530624030193,0.923838256908252,0.969590172422832,0.886510386709729,0.910462605750587,0.873112232005172,0.828216076135388,0.881048939503232,0.82853231987631,0.933765207455246,0.884204024405672,0.802853775838062,0.956536946663859,0.887069713511893,0.739197333635382,0.92139018881974,0.91001083886373,0.902217964461413,0.967525054321341,0.978629381309585,0.880223231530679,0.898325750735072,0.852125229605203,0.933668766590914,0.841222446358203,0.941830392009019,0.859575114902458,0.916655661102979,0.865887268413993,0.833732641854535,0.920392489923461,0.886759830110616,0.796631221459209,0.874891036573715
"ALTU",0.897003003795366,0.824328782085893,1,0.912710687343548,0.866654385392471,0.798191011202987,0.911038052375952,0.76104166625846,0.785566607355566,0.758315960171699,0.814606438240587,0.827673817016505,0.792734525088463,0.804299357348621,0.779763433589307,0.832361299068282,0.887594079279212,0.842964979035303,0.874334758928463,0.800289947104855,0.808389859280682,0.821490642567672,0.89059847146364,0.889340875287059,0.711576833710531,0.717622637737203,0.716844270968786,0.739604556935487,0.779944895651567,0.881276181060946,0.903982878418022,0.757797392452821,0.812982567400184,0.75250356119932,0.826675968714349,0.909884403834271,0.767203081231275,0.84635014624402,0.760065711200308,0.898684295997813,0.934252993039254,0.93875563501733,0.790144655885898,0.739827835330552,0.704358010064434,0.706507494324948,0.737370528683696,0.831025023523568,0.840123739793566,0.767842242684521,0.822760903293889,0.945019916456407,0.823035365956575,0.796778756215587,0.774097167615432,0.804941276898408,0.922873932312258,0.699354525869601,0.889902731405466,0.676604954427122,0.778096812307983,0.881100137239597,0.727263170654836,0.798412656338591,0.787150419683335,0.764838708764914,0.855477443810622,0.787031769877444,0.822102507775414,0.733918827529073,0.866276325490018,0.808458084130477,0.913022928237596,0.868900543925852,0.714110815498469,0.841562760469663,0.833689420670598,0.763566535288744,0.785327279848171,0.838667504369371,0.737017632034701,0.818839966801091,0.786917627324851,0.836156160112013,0.720532507772959,0.71458105423261,0.946278386970679,0.779787296499608,0.714346639361899,0.862908747063231,0.878854823526367,0.889998170439139,0.906326031599388,0.665216817066713,0.742289570262663,0.717222756920157,0.84245954875565,0.769032597058375
"APAC",0.977939631496788,0.90896986061114,0.912710687343548,1,0.877650018144054,0.80794522885068,0.943268860207022,0.850158966717199,0.852764643467148,0.751687061086803,0.903024455482382,0.896422371442406,0.882079769479143,0.827010529540724,0.860627346445968,0.894325460220238,0.910601821737477,0.927918697578553,0.89995485733987,0.879456477887258,0.896558475322535,0.871115999354173,0.89568741568889,0.974011853135756,0.793682846913116,0.796934063871012,0.795077070599071,0.819963382896471,0.851695692980935,0.953953740527992,0.900361216085727,0.832321090035834,0.861320838950803,0.832411388751477,0.858805959428236,0.97578750526453,0.765306257372366,0.930520173239267,0.845350700128584,0.955456373865751,0.95618076509077,0.915238313345253,0.79103975850644,0.813916243534546,0.770067295032487,0.783611289624133,0.730713088563343,0.906630132594522,0.898384275752678,0.847609095204156,0.890662306835864,0.942654435102684,0.906200672520591,0.828515616817557,0.85542429083481,0.868196230036078,0.97445165467101,0.777589283956888,0.972110153474482,0.749588476216653,0.852104360083436,0.967236684805537,0.810112098540052,0.883707300513569,0.87748060514611,0.849555756682705,0.937758113788772,0.872416665915654,0.905757551425324,0.814631539197168,0.903499899346711,0.886553208894868,0.926278398716607,0.929004054528271,0.793128899313047,0.875048009546901,0.925777884991338,0.847815463020147,0.80112480903331,0.928986055985467,0.81568096350251,0.901114303218511,0.869276730409719,0.918095877893028,0.801998828308571,0.794248048393774,0.944540435678561,0.859631142423561,0.79210152565032,0.947135402968415,0.929896579425816,0.942732522960763,0.949453142657562,0.751773347431113,0.819144902227693,0.79256608730469,0.866833950446457,0.850115593995992
"ARNE",0.86030119297624,0.794929455801996,0.866654385392471,0.877650018144054,1,0.932486696107035,0.937130043879412,0.776046541231208,0.847095172332975,0.852028176054836,0.799480620719586,0.894203306231095,0.805417104554179,0.942674498225655,0.830075023374828,0.777393866875257,0.943046379984048,0.812350331290176,0.973875745977815,0.766246621320026,0.812157357486471,0.922614708354051,0.956084871905301,0.861401663747631,0.691864165396967,0.697022848112648,0.722065320428218,0.78336514808394,0.741111226988031,0.894244294268226,0.933563223921151,0.742722827887439,0.894920662853958,0.803321958897802,0.952606800919341,0.895549765609532,0.874273380979823,0.871689836326536,0.76969592278966,0.915772884009553,0.911030418136059,0.910912158005265,0.909377208340416,0.716340753170984,0.686593331561497,0.731675405714994,0.82550827546772,0.78296334983253,0.913207411229295,0.73563419777098,0.77314220268653,0.915052302703826,0.85451380850124,0.916147315646105,0.756981108036262,0.88396936648328,0.872081864046472,0.731151132264452,0.877179025561928,0.659911279279286,0.840809033156603,0.852486764675271,0.764734206192983,0.819682325428719,0.783894325962031,0.770169422893626,0.816130209646524,0.82615045649305,0.844924508986516,0.753949546570626,0.939061654767998,0.858505877894884,0.917005860403019,0.808684091769004,0.716225757470397,0.942908516056158,0.827743793608475,0.795027142261811,0.919814936617114,0.841875734278287,0.731449086046095,0.852536747185193,0.767520805643547,0.795852631218708,0.73219743099039,0.701460138678698,0.88166132717824,0.747156460731384,0.743935001387015,0.82755729513237,0.928963455418053,0.826443587659013,0.932775368846111,0.682407379811517,0.729255449442347,0.710065326946976,0.970616868375376,0.806819304660316
"BEAV",0.794785191609671,0.744795892964121,0.798191011202987,0.80794522885068,0.932486696107035,1,0.857169284305581,0.747446776352908,0.814538567082576,0.900641514344039,0.751660749929823,0.849978108430371,0.769186287800349,0.948780910556185,0.798802880861968,0.722598584148339,0.864263661704857,0.760364446307616,0.903489723285401,0.72275215541996,0.765080402896538,0.888057506919413,0.885582748350928,0.797044502099404,0.659806160499658,0.666257713673657,0.703706695556584,0.764648662499819,0.69831181850993,0.830030714132994,0.861679638167826,0.708493097658647,0.848291016290333,0.777419090632694,0.930062694719956,0.821097204810733,0.914378908113191,0.818957972490352,0.743164050391314,0.846166499897726,0.837806556956476,0.840642087770365,0.965064276127229,0.680500211701682,0.663999757631588,0.716771907870879,0.878557126671703,0.723458201022097,0.863528186591556,0.696370076986146,0.720558368246093,0.840083714825918,0.809379911864172,0.905534195353265,0.721904073076689,0.850491932098924,0.79596692146111,0.720471452348453,0.808728457754579,0.634454065749961,0.814783001431849,0.784453822790958,0.74775477177174,0.782473504891234,0.743076562442691,0.739082783607084,0.760785465958549,0.789777638404849,0.798635447671074,0.736048318178783,0.871819538608862,0.819632610934093,0.836655692568422,0.748512380416698,0.697767886161329,0.887331342361849,0.776781408606614,0.766786580975068,0.9343578688477,0.786476278321972,0.705200518770819,0.808968363324542,0.727435712534344,0.74316319546593,0.71315867169204,0.674162917409312,0.812861706491942,0.698106260064646,0.73028076945329,0.764939955401085,0.866067212647946,0.762365500041576,0.85810452283728,0.665419097897062,0.701644595073982,0.686912562157998,0.93641707932474,0.776254677032694
"BESS",0.923904703780595,0.853259703697935,0.911038052375952,0.943268860207022,0.937130043879412,0.857169284305581,1,0.816287491523125,0.859254451067684,0.791690217616481,0.853580128877527,0.910469570791216,0.84873625465532,0.878164594717083,0.853463677257012,0.838825792293862,0.963213677264604,0.872237621142042,0.953717038446557,0.822993634207008,0.862801411227468,0.907626398074979,0.948586057722939,0.926633539541705,0.739875985108035,0.742233238207872,0.757581638889411,0.80540064904104,0.798063170448138,0.945435463383725,0.945703749229414,0.78929668213089,0.897591149462497,0.823244955274845,0.908210332119119,0.957946425245908,0.807936062726528,0.916455727253996,0.809176203410735,0.967547398894222,0.966321684771883,0.940285511202051,0.837855892343669,0.761437918349042,0.723938909288189,0.756984486068916,0.768521583769903,0.847635028153815,0.925605122066446,0.79108756428219,0.835074036194008,0.958086087159365,0.893899973667849,0.874468011740938,0.8045746579973,0.887319618829828,0.93789403491061,0.753926409651038,0.939531005858989,0.702276878062252,0.852872993212025,0.916239104303375,0.789858512029178,0.860984286566427,0.833890771790971,0.81168393817356,0.880380013895415,0.859176777875096,0.887890234125752,0.785852839849956,0.949133685401655,0.884954525478589,0.958258456824944,0.871207339472472,0.750786327923499,0.923793388348676,0.883135748486478,0.826368028278552,0.84988095392288,0.896658163502417,0.772733305816909,0.889598221928907,0.818457154967957,0.859474679178943,0.766451998541583,0.74274461364734,0.931168846524615,0.804956051074755,0.770636864034522,0.893742146789792,0.960711738688472,0.889853506031259,0.979951982436829,0.71155958639539,0.771911035035199,0.748292934271655,0.920274761025999,0.835187371022994
"BIXB",0.857958505664041,0.909275831367721,0.76104166625846,0.850158966717199,0.776046541231208,0.747446776352908,0.816287491523125,1,0.876223986826995,0.691276576736554,0.92843491179843,0.885754825502869,0.96656667648982,0.769502184656891,0.919725816013891,0.830923537830516,0.793386147416691,0.902391053932243,0.80083773151071,0.899313212276639,0.937938877566694,0.839814890263726,0.773041986962095,0.872005306799766,0.863683912138547,0.853479106753177,0.934075551470447,0.932728433813223,0.851873584130951,0.874787689186479,0.764915993850489,0.930225463186312,0.805944684282789,0.91746844238557,0.800583946226946,0.841026893616083,0.694841651121717,0.914498086466342,0.973167110075493,0.850911102241834,0.807819659253282,0.765886129065446,0.727396694227686,0.84897156988141,0.818492073177433,0.931590909661024,0.677981255981765,0.813066018939808,0.861446852248086,0.877688317541607,0.853448749995738,0.790558916346791,0.924815632740033,0.788146065191493,0.919148128593674,0.864459897321598,0.822623047203527,0.921605615701851,0.876424504941887,0.823694655152744,0.904271837852654,0.856654804936583,0.937926329592817,0.963066937644469,0.947480530880564,0.956997813581947,0.890310687326253,0.93305671659071,0.936042975486691,0.961439726884062,0.809162506574942,0.920896684856433,0.786229618070952,0.842208946664641,0.923977827451541,0.799885603876407,0.930459543031474,0.963402083658426,0.736452197058265,0.90655104417524,0.924738214699332,0.931581883746856,0.919292430382973,0.88852267204089,0.94985020226298,0.881342512016797,0.792304277930877,0.845471138426956,0.932139953679284,0.877670241007886,0.846137830002889,0.830307706735666,0.834525535975388,0.891139010892054,0.901045197114668,0.89200359275473,0.796826993980389,0.94395265954073
"BLAC",0.846434097091608,0.835771565632388,0.785566607355566,0.852764643467148,0.847095172332975,0.814538567082576,0.859254451067684,0.876223986826995,1,0.731584079981326,0.855711963796078,0.953123817999393,0.890712231212456,0.844727186283056,0.948179203418052,0.780905627736582,0.846190261339965,0.845263682599901,0.869491766617124,0.812346672689027,0.888233788683652,0.92666947979651,0.827944305668523,0.861579935922753,0.755493144410625,0.750182118120223,0.807131892410979,0.914940401664741,0.769507962107809,0.895132242960159,0.819088380295847,0.817781376331339,0.87725176652643,0.931942069198257,0.88370927503908,0.858504840177716,0.743613758889242,0.922125700323469,0.858740506613359,0.883508655748469,0.836055786381911,0.79652244494169,0.783660599536276,0.752002994935532,0.722009303443762,0.833515378507373,0.71742021156255,0.78436483432817,0.939107294055441,0.781533682463886,0.791327348260571,0.823715653505755,0.933538105948518,0.874366081888401,0.813852537844404,0.950069100675588,0.831817882972203,0.851749137292792,0.878941986723553,0.714531347369645,0.963031178227922,0.847077603724638,0.889712490704749,0.916894096693609,0.855908922554243,0.852828979279197,0.845109147744779,0.9364061726182,0.927371930408038,0.8662538201515,0.86931628597691,0.951569326741285,0.826928526941156,0.807277290254419,0.797950818926264,0.870449397477572,0.878083773131817,0.912432571128329,0.800694994308964,0.882691184067762,0.810014908000661,0.937261639544722,0.822227628405538,0.825821998849233,0.829890939834118,0.763044223280323,0.803158334546192,0.773564728697627,0.865008527409326,0.846743402864761,0.898440804092865,0.806775186934007,0.878397543205845,0.77083939499177,0.787545428916779,0.77275516235445,0.87245011337878,0.925408567806482
"BOIS",0.741987454692509,0.694020597223153,0.758315960171699,0.751687061086803,0.852028176054836,0.900641514344039,0.791690217616481,0.691276576736554,0.731584079981326,1,0.69554936313072,0.766306393880078,0.706672787613454,0.847263374100969,0.727329108249402,0.684080660521082,0.795977930182836,0.708617939575038,0.821214318889767,0.678167491320831,0.698791868503612,0.796600148089441,0.819584597911683,0.736416945558492,0.619417279535412,0.628403248710473,0.66232867539381,0.701337011904531,0.664145314276822,0.762730729056784,0.807116302509542,0.669114141666674,0.764399535999927,0.706955175861027,0.831379843103225,0.761239836174921,0.923185825036718,0.749692728699198,0.692532914878424,0.78032370106823,0.783116855430559,0.804459972178891,0.939694036003123,0.646227254724339,0.637761104094895,0.669769391858602,0.974856558964698,0.677649488354627,0.777714766172747,0.656560829060942,0.679874359837724,0.793595548695907,0.73487031277177,0.810374151302891,0.679938175676309,0.764463946787297,0.744743553651083,0.668660075771251,0.745558419961196,0.59856505771935,0.734641848497773,0.726341503872043,0.689924664764385,0.71726783037036,0.688733426792643,0.686883231077252,0.708471909630678,0.716190761522728,0.729209999930234,0.685452777530811,0.791826486299589,0.742721709429537,0.783552606246587,0.706398622157411,0.656556814237007,0.803164114094896,0.715584722736065,0.703977434706328,0.848366703389677,0.721058066723972,0.664541911634256,0.738218154364504,0.679489218519936,0.693488540830591,0.667359428923501,0.640794420140163,0.77479383801626,0.65684678305965,0.677492499626314,0.709273698454988,0.787193169101248,0.721166263620577,0.789346866031667,0.623562051560644,0.666039175767675,0.653765044513055,0.843907988141584,0.710376593679585
